Platform,Title,Company,Stipend,Link
LinkedIn,Student / Intern,Oracle,Undisclosed,https://in.linkedin.com/jobs/view/student-intern-at-oracle-4337757983?position=1&pageNum=2&refId=tC%2Bc5wwhMDkqbYGuO0qilA%3D%3D&trackingId=Hy08%2Fx%2Fb8l9HS1x9sp5BhQ%3D%3D
LinkedIn,Junior Social Media Marketing Trainee in Noida,Appinventiv,Undisclosed,https://in.linkedin.com/jobs/view/junior-social-media-marketing-trainee-in-noida-at-appinventiv-4341516744?position=2&pageNum=2&refId=tC%2Bc5wwhMDkqbYGuO0qilA%3D%3D&trackingId=PdcJW1Pkb1%2BRkvq0JVqXsA%3D%3D
LinkedIn,"Finance Executive, AR",PhonePe,Undisclosed,https://in.linkedin.com/jobs/view/finance-executive-ar-at-phonepe-4336334577?position=3&pageNum=2&refId=tC%2Bc5wwhMDkqbYGuO0qilA%3D%3D&trackingId=Oi%2F8hgvF9evGILeayeMlSA%3D%3D
LinkedIn,Product Manager Intern,slice,Undisclosed,https://in.linkedin.com/jobs/view/product-manager-intern-at-slice-4339897732?position=4&pageNum=2&refId=tC%2Bc5wwhMDkqbYGuO0qilA%3D%3D&trackingId=ADkCdo1vJB0SkOpKHePj2Q%3D%3D
LinkedIn,Technology Consultant Internship Opportunities - Neurodiversity Hiring Program,Microsoft,Undisclosed,https://in.linkedin.com/jobs/view/technology-consultant-internship-opportunities-neurodiversity-hiring-program-at-microsoft-4342210073?position=5&pageNum=2&refId=tC%2Bc5wwhMDkqbYGuO0qilA%3D%3D&trackingId=K78OFgr5NMsv39Ue7Mc6jg%3D%3D
LinkedIn,Digital Marketing Internship in Mumbai,Audi Mumbai West,Undisclosed,https://in.linkedin.com/jobs/view/digital-marketing-internship-in-mumbai-at-audi-mumbai-west-4341705478?position=6&pageNum=2&refId=tC%2Bc5wwhMDkqbYGuO0qilA%3D%3D&trackingId=VKR%2BvHCFdmAO%2BmWKvoxSEA%3D%3D
LinkedIn,Data Entry Intern,ConnectFor,Undisclosed,https://in.linkedin.com/jobs/view/data-entry-intern-at-connectfor-4325221127?position=7&pageNum=2&refId=tC%2Bc5wwhMDkqbYGuO0qilA%3D%3D&trackingId=lqWvVK%2Fd5KPz7IgWkcZrPA%3D%3D
LinkedIn,Internship - Talent Acquisition,Tata CLiQ Fashion,Undisclosed,https://in.linkedin.com/jobs/view/internship-talent-acquisition-at-tata-cliq-fashion-4339957331?position=8&pageNum=2&refId=tC%2Bc5wwhMDkqbYGuO0qilA%3D%3D&trackingId=yT4fiYnzjGlA%2Bza3541%2Fow%3D%3D
LinkedIn,Banking - Intern,Citi,Undisclosed,https://in.linkedin.com/jobs/view/banking-intern-at-citi-4325753081?position=9&pageNum=2&refId=tC%2Bc5wwhMDkqbYGuO0qilA%3D%3D&trackingId=SWeGssjXGfRlj%2FbDnb9atw%3D%3D
LinkedIn,Banking - Intern,Citi,Undisclosed,https://in.linkedin.com/jobs/view/banking-intern-at-citi-4325874433?position=10&pageNum=2&refId=tC%2Bc5wwhMDkqbYGuO0qilA%3D%3D&trackingId=veNQt4FKGCl7tukkj293Sw%3D%3D
LinkedIn,ATCD Interns,NxtWave,Undisclosed,https://in.linkedin.com/jobs/view/atcd-interns-at-nxtwave-4331446393?position=1&pageNum=5&refId=CKwIXKyZ%2BcjWtfR%2BM%2B8ynA%3D%3D&trackingId=7HQCO578KEgLskxY1a21zA%3D%3D
LinkedIn,Banking - Intern,Citi,Undisclosed,https://in.linkedin.com/jobs/view/banking-intern-at-citi-4325814628?position=2&pageNum=5&refId=CKwIXKyZ%2BcjWtfR%2BM%2B8ynA%3D%3D&trackingId=20tF1DOuIanfSjoJPedM0w%3D%3D
LinkedIn,BOA - Intern,NxtWave,Undisclosed,https://in.linkedin.com/jobs/view/boa-intern-at-nxtwave-4323578420?position=3&pageNum=5&refId=CKwIXKyZ%2BcjWtfR%2BM%2B8ynA%3D%3D&trackingId=hdtyUysAwQVjgbN4xEQ%2F9A%3D%3D
LinkedIn,"Full Stack Development Internship in Noida, Greater Noida, Gautam Buddha Nagar, Delhi, Ghaziabad (Hybrid)",Web3task,Undisclosed,https://in.linkedin.com/jobs/view/full-stack-development-internship-in-noida-greater-noida-gautam-buddha-nagar-delhi-ghaziabad-hybrid-at-web3task-4333912305?position=4&pageNum=5&refId=CKwIXKyZ%2BcjWtfR%2BM%2B8ynA%3D%3D&trackingId=8Wfq%2BLwTc1zJlPc9tzkZjA%3D%3D
LinkedIn,Web Development Internship in Pune,Innover Labs,Undisclosed,https://in.linkedin.com/jobs/view/web-development-internship-in-pune-at-innover-labs-4342304111?position=5&pageNum=5&refId=CKwIXKyZ%2BcjWtfR%2BM%2B8ynA%3D%3D&trackingId=hI4r2gLGWvWzS2h7NllotA%3D%3D
LinkedIn,Project Management Internship in Noida,FynTune Solution Private Limited,Undisclosed,https://in.linkedin.com/jobs/view/project-management-internship-in-noida-at-fyntune-solution-private-limited-4341775424?position=6&pageNum=5&refId=CKwIXKyZ%2BcjWtfR%2BM%2B8ynA%3D%3D&trackingId=LgD6rO2ik5BUE0CGt5PqDQ%3D%3D
LinkedIn,"Financial Analyst, GL",PhonePe,Undisclosed,https://in.linkedin.com/jobs/view/financial-analyst-gl-at-phonepe-4315110827?position=7&pageNum=5&refId=CKwIXKyZ%2BcjWtfR%2BM%2B8ynA%3D%3D&trackingId=OhAMVzn3adK1SkNCwXTYcg%3D%3D
LinkedIn,"Financial Analyst, AR",PhonePe,Undisclosed,https://in.linkedin.com/jobs/view/financial-analyst-ar-at-phonepe-4315122545?position=8&pageNum=5&refId=CKwIXKyZ%2BcjWtfR%2BM%2B8ynA%3D%3D&trackingId=mVe4klknagTHctQts%2FOMwA%3D%3D
LinkedIn,Marketing Internship in Mumbai,Reliance Brands Limited,Undisclosed,https://in.linkedin.com/jobs/view/marketing-internship-in-mumbai-at-reliance-brands-limited-4342422860?position=9&pageNum=5&refId=CKwIXKyZ%2BcjWtfR%2BM%2B8ynA%3D%3D&trackingId=csuHNubad0gZ11MdQxhw0g%3D%3D
LinkedIn,Software Development Internship in Bangalore,Subspace,Undisclosed,https://in.linkedin.com/jobs/view/software-development-internship-in-bangalore-at-subspace-4340787193?position=10&pageNum=5&refId=CKwIXKyZ%2BcjWtfR%2BM%2B8ynA%3D%3D&trackingId=99pijqVDFfTsmFYLUYcIeQ%3D%3D
LinkedIn,Talent Acquisition Intern,Licious,Undisclosed,https://in.linkedin.com/jobs/view/talent-acquisition-intern-at-licious-4324958063?position=1&pageNum=7&refId=BTmA1RACE12MZcDY67BqdQ%3D%3D&trackingId=fcfZgeRGx0%2F2ww5T5uGr7Q%3D%3D
LinkedIn,Internship - Seeking React/NodeJS Web/UI Developer Intern that prioritizes work/life balance,Dendrite.ai,Undisclosed,https://in.linkedin.com/jobs/view/internship-seeking-react-nodejs-web-ui-developer-intern-that-prioritizes-work-life-balance-at-dendrite-ai-4325565544?position=2&pageNum=7&refId=BTmA1RACE12MZcDY67BqdQ%3D%3D&trackingId=rz%2BmPizA2KJLWSLpo7IdYA%3D%3D
LinkedIn,Internship Trainee,The Muthoot Group,Undisclosed,https://in.linkedin.com/jobs/view/internship-trainee-at-the-muthoot-group-4319126527?position=3&pageNum=7&refId=BTmA1RACE12MZcDY67BqdQ%3D%3D&trackingId=Hsl3w%2FwA0qkdl6KDKn82lw%3D%3D
LinkedIn,Developer - Intern,Finvisage,Undisclosed,https://in.linkedin.com/jobs/view/developer-intern-at-finvisage-4249601592?position=4&pageNum=7&refId=BTmA1RACE12MZcDY67BqdQ%3D%3D&trackingId=NM%2BScD27dHGONXmiid8k0g%3D%3D
LinkedIn,Intern - Content Writer,Elevate Now,Undisclosed,https://in.linkedin.com/jobs/view/intern-content-writer-at-elevate-now-4341202799?position=5&pageNum=7&refId=BTmA1RACE12MZcDY67BqdQ%3D%3D&trackingId=TWd%2B2qVNeROraVPA3qLAWQ%3D%3D
LinkedIn,Best Remote Jobs for Freshers to Start Their Career in 2025,Career Cartz,Undisclosed,https://in.linkedin.com/jobs/view/best-remote-jobs-for-freshers-to-start-their-career-in-2025-at-career-cartz-4228268616?position=6&pageNum=7&refId=BTmA1RACE12MZcDY67BqdQ%3D%3D&trackingId=iBEu8MfQdPhgkDmNm2BMrQ%3D%3D
LinkedIn,Software Development Engineering (Web) Internship in Gurgaon,Innostax Tech LLC,Undisclosed,https://in.linkedin.com/jobs/view/software-development-engineering-web-internship-in-gurgaon-at-innostax-tech-llc-4338328883?position=7&pageNum=7&refId=BTmA1RACE12MZcDY67BqdQ%3D%3D&trackingId=lzBmLo5iBwyXni7A2Hb4Cw%3D%3D
LinkedIn,Web Developer Intern,AutomateBuddy Technologies Private Limited,Undisclosed,https://in.linkedin.com/jobs/view/web-developer-intern-at-automatebuddy-technologies-private-limited-4145030293?position=8&pageNum=7&refId=BTmA1RACE12MZcDY67BqdQ%3D%3D&trackingId=JGe32poV%2ByorryhZ94CfAA%3D%3D
LinkedIn,Full Stack Development Internship in Kolkata,LAMDA INFOTECH PRIVATE LIMITED,Undisclosed,https://in.linkedin.com/jobs/view/full-stack-development-internship-in-kolkata-at-lamda-infotech-private-limited-4340797490?position=9&pageNum=7&refId=BTmA1RACE12MZcDY67BqdQ%3D%3D&trackingId=D0RlwaoC6rc6px95iXN7MQ%3D%3D
LinkedIn,Operations Internship in Gurgaon,Zypp Electric,Undisclosed,https://in.linkedin.com/jobs/view/operations-internship-in-gurgaon-at-zypp-electric-4342174743?position=10&pageNum=7&refId=BTmA1RACE12MZcDY67BqdQ%3D%3D&trackingId=eqXoYtak4IHC9VKIwYsx7Q%3D%3D
Internshala,Social Entrepreneurship,Basti Ki Pathshala Foundation,"₹ 1,500",internshala.com
Internshala,Business Development (Sales),NayePankh Foundation,"₹ 1,500",internshala.com
Internshala,Government Engagement & Community Outreach (Tamil),Kaizzen PR,"₹ 10,000",internshala.com
Internshala,Community Influencing,She Can Foundation,"₹ 1,500",internshala.com
Internshala,Inside Sales,Aquatein,"₹ 4,500",internshala.com
Internshala,Content Writing,Hey Kavana,"₹ 15,000",internshala.com
Internshala,Welfare Support & Charity Drive Internship (1 Week),Odisha Development Management Programme (ODMP),₹ 350,internshala.com
Internshala,Videography,Triskn,"₹ 15,000",internshala.com
Internshala,Mental Health Counselor,Vandrevala Foundation,Unpaid,internshala.com
Internshala,Telecalling,GWI Techno E Services LLP,"₹ 6,000",internshala.com
Internshala,Student Volunteer,Marpu Foundation,Unpaid,internshala.com
Internshala,Digital Blog Creation,Marpu Foundation,Unpaid,internshala.com
Internshala,Creative Design,Flipspaces,"₹ 12,000",internshala.com
Internshala,Digital Marketing,Flipspaces,"₹ 10,000",internshala.com
Internshala,Social Impact & Community Support,Marpu Foundation,Unpaid,internshala.com
Internshala,Content - Tamil Language,Hungama Digital Media Entertainment Private Limited,"₹ 5,000",internshala.com
Internshala,Cloud Computing,Corteva Agriscience,"₹ 35,000 /month",internshala.com
Internshala,Mechanical Engineering,Kesoram Rayon,"₹ 20,000",internshala.com
Internshala,Business Development Associate,Urban Company,"₹ 20,000",internshala.com
Internshala,HR Analytics,STL Digital,"₹ 18,000 /month",internshala.com
Internshala,Omni Sports Advisor,Decathlon Sport India Private Limited,"₹ 10,000",internshala.com
Internshala,Human Resources (HR),REHAU POLYMERS,"₹ 10,000",internshala.com
Internshala,Analyst,Flipspaces,"₹ 12,000",internshala.com
Internshala,Sales,Khabarkhabri,"₹ 1,000",internshala.com
Internshala,Front Desk Executive,IREED Academy India Private Limited,"₹ 8,000",internshala.com
Internshala,VR Development,Indian Institute Of Technology (IIT) Guwahati,"₹ 10,000",internshala.com
Internshala,Motion Graphics,The House Of Rare,"₹ 10,000",internshala.com
Internshala,Marketing,NoBroker Technologies Solutions Private Limited,"₹ 10,000",internshala.com
Internshala,Business Development,Quess Corp Limited,"₹ 7,000",internshala.com
Internshala,Workshop Facilitator & Leadership,Marpu Foundation,"₹ 2,000",internshala.com
Internshala,Event Hosting & Facilitator,Marpu Foundation,"₹ 3,000",internshala.com
Internshala,Event Anchoring & Presenter,Marpu Foundation,"₹ 2,000",internshala.com
Internshala,Video Creator,CollegeDunia Web Private Limited,"₹ 15,000",internshala.com
Internshala,Sales,CaratLane Trading Private Limited,"₹ 12,000",internshala.com
Internshala,Chemical Engineering,Kesoram Rayon,"₹ 20,000",internshala.com
Internshala,Content and Social Media Marketing,Guardian Group,"₹ 13,000",internshala.com
Internshala,DevOps Cloud & Infrastructure Engineer,BlackHole Infiverse LLP,"₹ 8,500",internshala.com
Internshala,Logistics and Operations,Express Roadways,"₹ 8,000",internshala.com
Internshala,3D Modeling (Game Assets & Vehicles),Harsh Singh,"₹ 5,000",internshala.com
Internshala,E-Commerce Marketing,FarmLokal,"₹ 4,000",internshala.com
Internshala,Campaign,Futurionic Private Limited,"₹ 7,000 /month",internshala.com
Internshala,Subject Matter Expert (SME) – Hindi – School Textbooks K8,Arihant Publications,"₹ 8,000",internshala.com
Internshala,Subject Matter Expert (SME) – Maths – School Textbooks K8,Arihant Publications,"₹ 8,000",internshala.com
Internshala,Subject Matter Expert (SME) – English – School Textbooks K8,Arihant Publications,"₹ 8,000",internshala.com
Internshala,Subject Matter Expert (SME) – Social Studies: History and Geography – School Textbooks K8,Arihant Publications,"₹ 8,000",internshala.com
Internshala,"Subject Matter Expert (SME) – Science: Physics, Chemistry, and Biology - School Textbooks K8",Arihant Publications,"₹ 8,000",internshala.com
Internshala,MIS Executive,CollegeDekho.com,"₹ 4,000",internshala.com
Internshala,Human Resources (HR),Zucol Group Of Companies,"₹ 5,000",internshala.com
Internshala,Search Engine Optimization (SEO),Sportskeeda,"₹ 8,000",internshala.com
Internshala,Event Management,Times Internet Limited,"₹ 9,000",internshala.com
